type,from,to,conv_factor
angle,angle.arcsecond,angle.degree,2.78E-04
angle,angle.arcsecond,angle.gradian,3.09E-04
angle,angle.arcsecond,angle.milliradian,4.85E-06
angle,angle.arcsecond,angle.minute_of_arc,0.0166667
angle,angle.arcsecond,angle.radian,4.85E-06
angle,angle.degree,angle.arcsecond,3600
angle,angle.degree,angle.gradian,1.11111
angle,angle.degree,angle.milliradian,17.4533
angle,angle.degree,angle.minute_of_arc,60
angle,angle.degree,angle.radian,0.0174533
angle,angle.gradian,angle.arcsecond,3240
angle,angle.gradian,angle.degree,0.9
angle,angle.gradian,angle.milliradian,15.7079633
angle,angle.gradian,angle.minute_of_arc,54
angle,angle.gradian,angle.radian,0.015707963
angle,angle.milliradian,angle.arcsecond,206264.806
angle,angle.milliradian,angle.degree,0.0572958
angle,angle.milliradian,angle.gradian,0.063662
angle,angle.milliradian,angle.minute_of_arc,3.43775
angle,angle.milliradian,angle.radian,0.001
angle,angle.minute_of_arc,angle.arcsecond,60
angle,angle.minute_of_arc,angle.degree,0.0166667
angle,angle.minute_of_arc,angle.gradian,0.0185185
angle,angle.minute_of_arc,angle.milliradian,0.29159
angle,angle.minute_of_arc,angle.radian,0.00029159
angle,angle.radian,angle.arcsecond,206264.806
angle,angle.radian,angle.degree,57.2958
angle,angle.radian,angle.gradian,63.662
angle,angle.radian,angle.milliradian,1000
angle,angle.radian,angle.minute_of_arc,3437.75
area,area.square_kilometer,area.square_meter,1000000
area,area.square_kilometer,area.square_mile,0.386102
area,area.square_kilometer,area.square_yard,1195990.05
area,area.square_kilometer,area.square_foot,10763910.4
area,area.square_kilometer,area.square_inch,1.55E+12
area,area.square_kilometer,area.hectare,100
area,area.square_kilometer,area.acre,247.105
area,area.square_meter,area.square_kilometer,1.00E-06
area,area.square_meter,area.square_mile,3.86E-07
area,area.square_meter,area.square_yard,1.19599
area,area.square_meter,area.square_foot,10.7639
area,area.square_meter,area.square_inch,1550.0031
area,area.square_meter,area.hectare,0.0001
area,area.square_meter,area.acre,0.000247105
area,area.square_mile,area.square_kilometer,2.58999
area,area.square_mile,area.square_meter,2589988.11
area,area.square_mile,area.square_yard,3097600
area,area.square_mile,area.square_foot,27878400
area,area.square_mile,area.square_inch,4.01E+12
area,area.square_mile,area.hectare,258.999
area,area.square_mile,area.acre,640
area,area.square_yard,area.square_kilometer,8.36E-07
area,area.square_yard,area.square_meter,0.836127
area,area.square_yard,area.square_mile,3.23E-07
area,area.square_yard,area.square_foot,9
area,area.square_yard,area.square_inch,1296
area,area.square_yard,area.hectare,8.36E-05
area,area.square_yard,area.acre,0.000206612
area,area.square_foot,area.square_kilometer,9.29E-08
area,area.square_foot,area.square_meter,0.092903
area,area.square_foot,area.square_mile,3.59E-08
area,area.square_foot,area.square_yard,0.111111
area,area.square_foot,area.square_inch,144
area,area.square_foot,area.hectare,9.29E-06
area,area.square_foot,area.acre,2.30E-05
area,area.square_inch,area.square_kilometer,6.45E-13
area,area.square_inch,area.square_meter,0.00064516
area,area.square_inch,area.square_mile,2.49E-13
area,area.square_inch,area.square_yard,0.000771605
area,area.square_inch,area.square_foot,0.00694444
area,area.square_inch,area.hectare,6.45E-11
area,area.square_inch,area.acre,1.59E-10
area,area.hectare,area.square_kilometer,0.01
area,area.hectare,area.square_meter,10000
area,area.hectare,area.square_mile,0.00386102
area,area.hectare,area.square_yard,11959.9
area,area.hectare,area.square_foot,107639
area,area.hectare,area.square_inch,1.55E+08
area,area.hectare,area.acre,2.47105
area,area.acre,area.square_kilometer,0.00404686
area,area.acre,area.square_meter,4046.86
area,area.acre,area.square_mile,0.0015625
area,area.acre,area.square_yard,4840
area,area.acre,area.square_foot,43560
area,area.acre,area.square_inch,6.27E+07
area,area.acre,area.hectare,0.404686
length,length.kilometer,length.meter,1000
length,length.kilometer,length.centimeter,100000
length,length.kilometer,length.millimeter,1.00E+06
length,length.kilometer,length.micrometer,1.00E+09
length,length.kilometer,length.nanometer,1.00E+12
length,length.kilometer,length.mile,0.621371
length,length.kilometer,length.yard,1094
length,length.kilometer,length.foot,3281
length,length.kilometer,length.inch,39370.1
length,length.kilometer,length.nautical mile,0.539957
length,length.meter,length.kilometer,0.001
length,length.meter,length.centimeter,100
length,length.meter,length.millimeter,1000
length,length.meter,length.micrometer,1.00E+06
length,length.meter,length.nanometer,1.00E+09
length,length.meter,length.mile,0.000621371
length,length.meter,length.yard,1.09361
length,length.meter,length.foot,3.28084
length,length.meter,length.inch,39.3701
length,length.meter,length.nautical mile,0.000539957
length,length.centimeter,length.kilometer,1.00E-05
length,length.centimeter,length.meter,0.01
length,length.centimeter,length.millimeter,10
length,length.centimeter,length.micrometer,10000
length,length.centimeter,length.nanometer,1.00E+07
length,length.centimeter,length.mile,6.21E-06
length,length.centimeter,length.yard,0.0109361
length,length.centimeter,length.foot,0.0328084
length,length.centimeter,length.inch,0.393701
length,length.centimeter,length.nautical mile,5.40E-06
length,length.millimeter,length.kilometer,1.00E-06
length,length.millimeter,length.meter,0.001
length,length.millimeter,length.centimeter,0.1
length,length.millimeter,length.micrometer,1000
length,length.millimeter,length.nanometer,1.00E+06
length,length.millimeter,length.mile,6.21E-07
length,length.millimeter,length.yard,0.00109361
length,length.millimeter,length.foot,0.00328084
length,length.millimeter,length.inch,0.0393701
length,length.millimeter,length.nautical mile,5.40E-07
length,length.micrometer,length.kilometer,1.00E-09
length,length.micrometer,length.meter,1.00E-06
length,length.micrometer,length.centimeter,0.0001
length,length.micrometer,length.millimeter,0.001
length,length.micrometer,length.nanometer,1000
length,length.micrometer,length.mile,6.21E-10
length,length.micrometer,length.yard,1.09E-06
length,length.micrometer,length.foot,3.28E-06
length,length.micrometer,length.inch,3.94E-05
length,length.micrometer,length.nautical mile,5.40E-10
length,length.nanometer,length.kilometer,1.00E-12
length,length.nanometer,length.meter,1.00E-09
length,length.nanometer,length.centimeter,1.00E-07
length,length.nanometer,length.millimeter,1.00E-06
length,length.nanometer,length.micrometer,0.001
length,length.nanometer,length.mile,6.21E-13
length,length.nanometer,length.yard,1.09E-09
length,length.nanometer,length.foot,3.28E-09
length,length.nanometer,length.inch,3.94E-08
length,length.nanometer,length.nautical mile,5.40E-13
length,length.mile,length.kilometer,1.60934
length,length.mile,length.meter,1609.34
length,length.mile,length.centimeter,160934
length,length.mile,length.millimeter,1.61E+06
length,length.mile,length.micrometer,1.61E+09
length,length.mile,length.nanometer,1.61E+12
length,length.mile,length.yard,1760
length,length.mile,length.foot,5280
length,length.mile,length.inch,63360
length,length.mile,length.nautical mile,0.868976
length,length.yard,length.kilometer,0.0009144
length,length.yard,length.meter,0.9144
length,length.yard,length.centimeter,91.44
length,length.yard,length.millimeter,914.4
length,length.yard,length.micrometer,914400
length,length.yard,length.nanometer,9.14E+08
length,length.yard,length.mile,0.000568182
length,length.yard,length.foot,3
length,length.yard,length.inch,36
length,length.yard,length.nautical mile,0.000493737
length,length.foot,length.kilometer,0.0003048
length,length.foot,length.meter,0.3048
length,length.foot,length.centimeter,30.48
length,length.foot,length.millimeter,304.8
length,length.foot,length.micrometer,304800
length,length.foot,length.nanometer,3.05E+08
length,length.foot,length.mile,0.000189394
length,length.foot,length.yard,0.333333
length,length.foot,length.inch,12
length,length.foot,length.nautical mile,0.000164579
length,length.inch,length.kilometer,0.0000254
length,length.inch,length.meter,0.0254
length,length.inch,length.centimeter,2.54
length,length.inch,length.millimeter,25.4
length,length.inch,length.micrometer,25400
length,length.inch,length.nanometer,2.54E+07
length,length.inch,length.mile,1.58E-05
length,length.inch,length.yard,0.0277778
length,length.inch,length.foot,0.0833333
length,length.inch,length.nautical mile,1.37E-05
length,length.nautical mile,length.kilometer,1.852
length,length.nautical mile,length.meter,1852
length,length.nautical mile,length.centimeter,185200
length,length.nautical mile,length.millimeter,1.85E+06
length,length.nautical mile,length.micrometer,1.85E+09
length,length.nautical mile,length.nanometer,1.85E+12
length,length.nautical mile,length.mile,1.15078
length,length.nautical mile,length.yard,2025.37
length,length.nautical mile,length.foot,6076.12
length,length.nautical mile,length.inch,72913.4
energy,energy.joule,energy.kilojoule,0.001
energy,energy.joule,energy.gram_calorie,0.239006
energy,energy.joule,energy.kilocalorie,0.000239006
energy,energy.joule,energy.watt_hour,0.000277778
energy,energy.joule,energy.kilowatt_hour,2.78E-07
energy,energy.joule,energy.electronvolt,6.24E+18
energy,energy.joule,energy.british_thermal_unit,0.000947817
energy,energy.joule,energy.us_therm,9.48E-09
energy,energy.joule,energy.foot_pound,0.737562
energy,energy.kilojoule,energy.joule,1000
energy,energy.kilojoule,energy.gram_calorie,239.006
energy,energy.kilojoule,energy.kilocalorie,0.239006
energy,energy.kilojoule,energy.watt_hour,0.277778
energy,energy.kilojoule,energy.kilowatt_hour,0.000277778
energy,energy.kilojoule,energy.electronvolt,6.24E+21
energy,energy.kilojoule,energy.british_thermal_unit,0.947817
energy,energy.kilojoule,energy.us_therm,9.48E-06
energy,energy.kilojoule,energy.foot_pound,737.562
