year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1946,The Lovers,Amanti in fuga,Giacomo Gentilomo,it,IT,1h 30m,https://www.imdb.com/title/tt0038297/
1946,Anna and the King of Siam,,John Cromwell,en,US,2h 8m,https://www.imdb.com/title/tt0038303/
1946,Blood and Fire,Blod och eld,Anders Henrikson,sv,SE,1h 40m,https://www.imdb.com/title/tt0037544/
1946,Letter from the Dead,Brevet fra afdøde,Johan Jacobsen,da,DK,1h 18m,https://www.imdb.com/title/tt0124300/
1946,Brief Encounter,,David Lean,"en,fr",GB,1h 26m,https://www.imdb.com/title/tt0037558/
1946,Caesar and Cleopatra,,Gabriel Pascal,en,GB,2h 18m,https://www.imdb.com/title/tt0038390/
1946,Camões,,José Leitão de Barros,pt,PT,1h 58m,https://www.imdb.com/title/tt0038394/
1946,Girl No. 217,Chelovek No. 217,Mikhail Romm,ru,SU,1h 31m,https://www.imdb.com/title/tt0037589/
1946,Red Meadows,De røde enge,"Bodil Ipsen, Lau Lauritzen","da,de",DK,1h 25m,https://www.imdb.com/title/tt0038043/
1946,The Last Chance,Die letzte Chance,Leopold Lindtberg,"en,it,de,fr",CH,1h 53m,https://www.imdb.com/title/tt0037871/
1946,Dunia,,Muhammad Karim,ar,EG,1h 46m,https://www.imdb.com/title/tt0285527/
1946,The Queen's Flower,Floarea reginei,Paul Calinescu,ro,RO,21m,https://www.imdb.com/title/tt0038530/
1946,Gaslight,,George Cukor,"en,it",US,1h 54m,https://www.imdb.com/title/tt0036855/
1946,Gilda,,Charles Vidor,"en,es,fr,de",US,1h 50m,https://www.imdb.com/title/tt0038559/
1946,The Great Glinka,Glinka,Lev Arnshtam,ru,SU,1h 56m,https://www.imdb.com/title/tt0038566/
1946,Torment,Hets,Alf Sjöberg,sv,SE,1h 41m,https://www.imdb.com/title/tt0036914/
1946,The Bandit,Il bandito,Alberto Lattuada,"it,de,en",IT,1h 23m,https://www.imdb.com/title/tt0038327/
1946,The Stone Flower,Kamennyy tsvetok,Aleksandr Ptushko,ru,SU,1h 29m,https://www.imdb.com/title/tt0038666/
1946,The Battle of the Rails,La bataille du rail,René Clément,"fr,de",FR,1h 25m,https://www.imdb.com/title/tt0038334/
1946,Beauty and the Beast,La Belle et la Bête,"Jean Cocteau, René Clément",fr,FR,1h 36m,https://www.imdb.com/title/tt0038348/
1946,Pastoral Symphony,La symphonie pastorale,Jean Delannoy,fr,FR,1h 50m,https://www.imdb.com/title/tt0039004/
1946,His Young Wife,Le miserie del signor Travet,Mario Soldati,it,IT,1h 40m,https://www.imdb.com/title/tt0037916/
1946,Mr. Orchid,Le père tranquille,René Clément,fr,FR,1h 35m,https://www.imdb.com/title/tt0038863/
1946,The Three Musketeers ,Los tres mosqueteros,Miguel M. Delgado,es,MX,2h 16m,https://www.imdb.com/title/tt0162020/
1946,Make Mine Music,,"Robert Cormack, Clyde Geronimi, Jack Kinney",en,US,1h 15m,https://www.imdb.com/title/tt0038718/
1946,María Candelaria,,Emilio Fernández,es,MX,1h 42m,https://www.imdb.com/title/tt0037054/
1946,Men Without Wings,Muzi bez krídel,Frantisek Cáp,"cs,de",CS,1h 19m,https://www.imdb.com/title/tt0038760/
1946,Neecha Nagar,,Chetan Anand,hi,IN,2h 2m,https://www.imdb.com/title/tt0154942/
1946,The Adventurous Bachelor,Nezbedný bakalár,Otakar Vávra,cs,CS,1h 36m,https://www.imdb.com/title/tt0175955/
1946,Notorious,,Alfred Hitchcock,"en,pt,fr",US,1h 42m,https://www.imdb.com/title/tt0038787/
1946,Patrie,,Louis Daquin,fr,FR,1h 40m,https://www.imdb.com/title/tt0192444/
1946,Rhapsody in Blue,,Irving Rapper,en,US,2h 15m,https://www.imdb.com/title/tt0038026/
1946,"Rome, Open City",Roma città aperta,Roberto Rossellini,"it,de",IT,1h 43m,https://www.imdb.com/title/tt0038890/
1946,The Captive Heart,,Basil Dearden,"en,de",GB,1h 44m,https://www.imdb.com/title/tt0038396/
1946,The Lost Weekend,,Billy Wilder,en,US,1h 41m,https://www.imdb.com/title/tt0037884/
1946,The Magic Bow,,Bernard Knowles,en,GB,1h 46m,https://www.imdb.com/title/tt0039594/
1946,The Seventh Veil,,Compton Bennett,en,GB,1h 34m,https://www.imdb.com/title/tt0038924/
1946,Três Dias Sem Deus,,Bárbara Virgínia,pt,PT,1h 42m,https://www.imdb.com/title/tt0039051/
1946,Un giorno nella vita,,Alessandro Blasetti,it,IT,1h 35m,https://www.imdb.com/title/tt0038560/
1946,A Lover's Return,Un revenant,Christian-Jaque,fr,FR,1h 40m,https://www.imdb.com/title/tt0039061/
1946,The Turning Point,Velikiy perelom,Fridrikh Ermler,"ru,de",SU,1h 48m,https://www.imdb.com/title/tt0037426/
1946,Wonder Man,,H. Bruce Humberstone,"en,fr",US,1h 38m,https://www.imdb.com/title/tt0038260/
1946,"Zdravstvuy, Moskva!",,Sergei Yutkevich,ru,SU,1h 26m,https://www.imdb.com/title/tt0038594/
1946,Zoya,,Lev Arnshtam,ru,SU,1h 35m,https://www.imdb.com/title/tt0037482/
1947,Antoine and Antoinette,Antoine et Antoinette,Jacques Becker,fr,FR,1h 24m,https://www.imdb.com/title/tt0039155/
1947,Boomerang!,,Elia Kazan,en,US,1h 28m,https://www.imdb.com/title/tt0039208/
1947,Crossfire,,Edward Dmytryk,en,US,1h 26m,https://www.imdb.com/title/tt0039286/
1947,Dumbo,,Ben Sharpsteen,en,US,1h 4m,https://www.imdb.com/title/tt0033563/
1947,Flesh Will Surrender,Il delitto di Giovanni Episcopo,Alberto Lattuada,it,IT,1h 31m,https://www.imdb.com/title/tt0039309/
1947,Ivy,,Sam Wood,en,US,1h 39m,https://www.imdb.com/title/tt0039504/
1947,Song of Dolores,La copla de la Dolores,Benito Perojo,es,AR,1h 25m,https://www.imdb.com/title/tt0039278/
1947,The Captain's Daughter,La figlia del capitano,Mario Camerini,it,IT,1h 42m,https://www.imdb.com/title/tt0039381/
1947,The Cat,La gata,Mario Soffici,es,AR,1h 25m,https://www.imdb.com/title/tt0039413/
1947,The Lovers of the Pont Saint-Jean,Les amants du pont Saint-Jean,Henri Decoin,fr,FR,1h 32m,https://www.imdb.com/title/tt0154139/
1947,Les jeux sont faits,,Jean Delannoy,fr,FR,1h 45m,https://www.imdb.com/title/tt0039512/
1947,The Damned,Les maudits,René Clément,"fr,en,de,it",FR,1h 45m,https://www.imdb.com/title/tt0039615/
1947,"Marouf, the Cairo Cobbler",Marouf savetier du caire,Jean Mauran,fr,MA,1h 30m,https://www.imdb.com/title/tt0255353/
1947,Mine Own Executioner,,Anthony Kimmins,en,GB,1h 48m,https://www.imdb.com/title/tt0039627/
1947,Paris 1900,Paris mil neuf cent,Nicole Védrès,fr,FR,1h 22m,https://www.imdb.com/title/tt0040683/
