num,denom,value,one_up
0,0,0.01,FALSE
0,0,0.02,FALSE
0,0,0.03,FALSE
1,16,0.04,FALSE
1,16,0.05,FALSE
1,16,0.060000000000000005,FALSE
1,16,0.06999999999999999,FALSE
1,16,0.08,FALSE
1,16,0.09,FALSE
2,16,0.09999999999999999,FALSE
2,16,0.11,FALSE
2,16,0.12,FALSE
2,16,0.13,FALSE
2,16,0.14,FALSE
2,16,0.15000000000000002,FALSE
3,16,0.16,FALSE
3,16,0.17,FALSE
3,16,0.18000000000000002,FALSE
3,16,0.19,FALSE
3,16,0.2,FALSE
3,16,0.21000000000000002,FALSE
4,16,0.22,FALSE
4,16,0.23,FALSE
4,16,0.24000000000000002,FALSE
4,16,0.25,FALSE
4,16,0.26,FALSE
4,16,0.27,FALSE
4,16,0.28,FALSE
5,16,0.29000000000000004,FALSE
5,16,0.3,FALSE
5,16,0.31,FALSE
5,16,0.32,FALSE
5,16,0.33,FALSE
5,16,0.34,FALSE
6,16,0.35000000000000003,FALSE
6,16,0.36000000000000004,FALSE
6,16,0.37,FALSE
6,16,0.38,FALSE
6,16,0.39,FALSE
6,16,0.4,FALSE
7,16,0.41000000000000003,FALSE
7,16,0.42000000000000004,FALSE
7,16,0.43,FALSE
7,16,0.44,FALSE
7,16,0.45,FALSE
7,16,0.46,FALSE
8,16,0.47000000000000003,FALSE
8,16,0.48000000000000004,FALSE
8,16,0.49,FALSE
8,16,0.5,FALSE
8,16,0.51,FALSE
8,16,0.52,FALSE
8,16,0.53,FALSE
9,16,0.54,FALSE
9,16,0.55,FALSE
9,16,0.56,FALSE
9,16,0.5700000000000001,FALSE
9,16,0.5800000000000001,FALSE
9,16,0.59,FALSE
10,16,0.6,FALSE
10,16,0.61,FALSE
10,16,0.62,FALSE
10,16,0.63,FALSE
10,16,0.64,FALSE
10,16,0.65,FALSE
11,16,0.66,FALSE
11,16,0.67,FALSE
11,16,0.68,FALSE
11,16,0.6900000000000001,FALSE
11,16,0.7000000000000001,FALSE
11,16,0.7100000000000001,FALSE
12,16,0.72,FALSE
12,16,0.73,FALSE
12,16,0.74,FALSE
12,16,0.75,FALSE
12,16,0.76,FALSE
12,16,0.77,FALSE
12,16,0.78,FALSE
13,16,0.79,FALSE
13,16,0.8,FALSE
13,16,0.81,FALSE
13,16,0.8200000000000001,FALSE
13,16,0.8300000000000001,FALSE
13,16,0.8400000000000001,FALSE
14,16,0.85,FALSE
14,16,0.86,FALSE
14,16,0.87,FALSE
14,16,0.88,FALSE
14,16,0.89,FALSE
14,16,0.9,FALSE
15,16,0.91,FALSE
15,16,0.92,FALSE
15,16,0.93,FALSE
15,16,0.9400000000000001,FALSE
15,16,0.9500000000000001,FALSE
15,16,0.9600000000000001,FALSE
0,0,0.97,TRUE
0,0,0.98,TRUE
0,0,0.99,TRUE
