x,low,med,high
0.000,0,0,0
0.001,0,0,1/999
0.002,0,0,1/500
0.003,0,0,2/667
0.004,0,0,1/250
0.005,0,0,1/200
0.006,0,1/99,3/500
0.007,0,1/99,6/857
0.008,0,1/99,1/125
0.009,0,1/99,8/889
0.010,0,1/99,1/100
0.011,0,1/91,10/909
0.012,0,1/83,3/250
0.013,0,1/77,12/923
0.014,0,1/71,7/500
0.015,0,1/67,3/200
0.016,0,1/63,2/125
0.017,0,1/59,11/647
0.018,0,1/56,9/500
0.019,0,1/53,11/579
0.020,0,1/50,1/50
0.021,0,2/95,13/619
0.022,0,2/91,11/500
0.023,0,2/87,21/913
0.024,0,2/83,3/125
0.025,0,1/40,1/40
0.026,0,2/77,13/500
0.027,0,1/37,26/963
0.028,0,2/71,7/250
0.029,0,2/69,27/931
0.030,0,2/67,3/100
0.031,0,3/97,27/871
0.032,0,3/94,4/125
0.033,0,3/91,23/697
0.034,0,3/88,17/500
0.035,0,2/57,7/200
0.036,0,3/83,9/250
0.037,0,1/27,36/973
0.038,0,3/79,19/500
0.039,0,3/77,25/641
0.040,0,1/25,1/25
0.041,0,3/73,23/561
0.042,0,4/95,21/500
0.043,0,4/93,39/907
0.044,0,4/91,11/250
0.045,0,4/89,9/200
0.046,0,4/87,23/500
0.047,0,4/85,29/617
0.048,0,4/83,6/125
0.049,0,3/61,27/551
0.050,0,1/20,1/20
0.051,0,5/98,28/549
0.052,0,4/77,13/250
0.053,0,5/94,38/717
0.054,0,2/37,27/500
0.055,0,5/91,11/200
0.056,1/9,5/89,7/125
0.057,1/9,2/35,46/807
0.058,1/9,4/69,29/500
0.059,1/9,1/17,39/661
0.060,1/9,3/50,3/50
0.061,1/9,5/82,33/541
0.062,1/9,6/97,31/500
0.063,1/9,6/95,55/873
0.064,1/9,5/78,8/125
0.065,1/9,5/77,13/200
0.066,1/9,6/91,33/500
0.067,1/9,1/15,40/597
0.068,1/9,3/44,17/250
0.069,1/9,2/29,67/971
0.070,1/9,4/57,7/100
0.071,1/9,7/99,59/831
0.072,1/9,7/97,9/125
0.073,1/9,7/96,63/863
0.074,1/9,2/27,37/500
0.075,1/9,3/40,3/40
0.076,1/9,6/79,19/250
0.077,1/9,1/13,76/987
0.078,1/9,6/77,39/500
0.079,1/9,3/38,41/519
0.080,1/9,2/25,2/25
0.081,1/9,3/37,55/679
0.082,1/9,5/61,41/500
0.083,1/9,1/12,62/747
0.084,1/9,8/95,21/250
0.085,1/9,4/47,17/200
0.086,1/9,8/93,43/500
0.087,1/9,2/23,85/977
0.088,1/9,8/91,11/125
0.089,1/9,4/45,72/809
0.090,1/9,8/89,9/100
0.091,1/9,1/11,90/989
0.092,1/9,8/87,23/250
0.093,1/9,4/43,89/957
0.094,1/9,8/85,47/500
0.095,1/9,2/21,19/200
0.096,1/9,7/73,12/125
0.097,1/9,7/72,55/567
0.098,1/9,5/51,49/500
0.099,1/9,9/91,89/899
0.100,1/9,1/10,1/10
0.101,1/9,10/99,91/901
0.102,1/9,5/49,51/500
0.103,1/9,7/68,79/767
0.104,1/9,8/77,13/125
0.105,1/9,2/19,21/200
0.106,1/9,7/66,53/500
0.107,1/9,3/28,81/757
0.108,1/9,4/37,27/250
0.109,1/9,6/55,86/789
0.110,1/9,10/91,11/100
0.111,1/9,1/9,110/991
0.112,1/9,11/98,14/125
0.113,1/9,7/62,93/823
0.114,1/9,9/79,57/500
0.115,1/9,10/87,23/200
0.116,1/9,8/69,29/250
0.117,1/9,11/94,64/547
0.118,1/9,11/93,59/500
0.119,1/8,5/42,62/521
0.120,1/8,3/25,3/25
0.121,1/8,11/91,87/719
0.122,1/8,5/41,61/500
0.123,1/8,8/65,100/813
0.124,1/8,12/97,31/250
0.125,1/8,1/8,1/8
0.126,1/8,12/95,63/500
0.127,1/8,8/63,119/937
0.128,1/8,11/86,16/125
0.129,1/8,4/31,125/969
0.130,1/8,10/77,13/100
0.131,1/8,11/84,101/771
0.132,1/8,7/53,33/250
0.133,1/8,2/15,106/797
0.134,1/7,13/97,67/500
0.135,1/7,5/37,27/200
0.136,1/7,11/81,17/125
0.137,1/7,10/73,127/927
0.138,1/7,4/29,69/500
0.139,1/7,5/36,103/741
0.140,1/7,7/50,7/50
0.141,1/7,11/78,76/539
0.142,1/7,14/99,71/500
0.143,1/7,1/7,142/993
0.144,1/7,14/97,18/125
0.145,1/7,10/69,29/200
0.146,1/7,13/89,73/500
0.147,1/7,5/34,76/517
0.148,1/7,4/27,37/250
0.149,1/7,7/47,97/651
0.150,1/7,3/20,3/20
0.151,1/7,8/53,98/649
0.152,1/7,12/79,19/125
0.153,1/7,13/85,125/817
0.154,1/7,2/13,77/500
0.155,1/6,11/71,31/200
0.156,1/6,12/77,39/250
0.157,1/6,8/51,111/707
0.158,1/6,3/19,79/500
