z,n,element,radius,radius_uncert,abundance,abundance_uncert,is_stable,half_life,half_life_uncert,isospin,decay_1,decay_1_pct,decay_1_pct_uncert,decay_2,decay_2_pct,decay_2_pct_uncert,decay_3,decay_3_pct,decay_3_pct_uncert,magnetic_dipole,magnetic_dipole_uncert,electric_quadrupole,electric_quadrupole_uncert,atomic_mass,atomic_mass_uncert,mass_excess,mass_excess_uncert
1,0,H,0.8783,0.0086,99.9855,0.0078,TRUE,,,,,,,,,,,,,2.792847351,0.000000009,,,1007825.031898,0.000014,7288.971064,0.000013
1,1,H,2.1421,0.0088,0.0145,0.0078,TRUE,,,,,,,,,,,,,0.857438231,0.000000005,0.0028578,0.0000003,2014101.777844,0.000015,13135.722895,0.000015
1,2,H,1.7591,0.0363,,,FALSE,388781328.00697300,631138.51949184,,B-,100,,,,,,,,2.97896246,0.000000014,,,3016049.28132,0.00008,14949.81090,0.00008
1,3,H,,,,,FALSE,,,1,N,100,,,,,,,,,,,,4026431.867,107.354,24621.129,100.000
1,4,H,,,,,FALSE,8.6082587749318E-23,6.49679907542023E-24,,2N,100,,,,,,,,,,,,5035311.492,96.020,32892.447,89.443
1,5,H,,,,,FALSE,2.94346912949281E-22,8.35565430307637E-23,,,,,,,,,,,,,,,6044955.437,272.816,41875.725,254.127
1,6,H,,,,,FALSE,5.06930794523762E-21,2.81628219179868E-20,,,,,,,,,,,,,,,7052749,1078,49135,1004
2,1,He,1.9661,0.0030,0.0002,0.0002,TRUE,,,,,,,,,,,,,-2.12762531,0.00000003,,,3016029.32197,0.00006,14931.21888,0.00006
2,2,He,1.6755,0.0028,99.9998,0.0002,TRUE,,,0,,,,,,,,,,,,,,4002603.25413,0.00016,2424.91587,0.00015
2,3,He,,,,,FALSE,7.04070547949669E-22,0,1/2,N,,,,,,,,,,,,,5012057.224,21.470,11231.234,20.000
2,4,He,2.0660,0.0111,,,FALSE,0.8067,0.0015,1,B-,100,,,,,,,,,,,,6018885.889,0.057,17592.095,0.053
2,5,He,,,,,FALSE,3.04158476714257E-21,4.0554463561901E-22,3/2,N,,,,,,,,,,,,,7027990.652,8.115,26073.128,7.559
2,6,He,1.9239,0.0306,,,FALSE,0.1191,0.0012,2,B-,100,,B-N,16,1,,,,,,,,8033934.388,0.095,31609.683,0.089
2,7,He,,,,,FALSE,,,5/2,N,100,,,,,,,,,,,,9043946.414,50.259,40935.826,46.816
2,8,He,,,,,FALSE,1.52079238357129E-21,1.01386158904752E-21,3,N,100,,,,,,,,,,,,10052815.306,99.676,49197.147,92.848
3,1,Li,,,,,FALSE,,,1,P,100,,,,,,,,,,,,4027185.561,227.733,25323.190,212.132
3,2,Li,,,,,FALSE,3.70924971602753E-22,0,1/2,P,,,,,,,,,,,,,5012537.8,53.677,11678.887,50.000
3,3,Li,2.5890,0.0390,4.85,1.71,TRUE,,,0,,,,,,,,,,0.822043,0.000003,-0.000806,0.000006,6015122.88742,0.00155,14086.88044,0.00144
3,4,Li,2.4440,0.0420,95.15,1.71,TRUE,,,1/2,,,,,,,,,,3.256407,0.000012,-0.04,0.0003,7016003.43426,0.00450,14907.10463,0.00419
3,5,Li,2.3390,0.0440,,,FALSE,0.8399,0.0009,1,B-A,100,,B-,100,,,,,1.6535,0.00002,0.0314,0.0002,8022486.244,0.050,20945.805,0.047
3,6,Li,2.2450,0.0460,,,FALSE,0.1783,0.0004,3/2,B-,100,,B-N,50.8,0.2,,,,3.43666,0.00006,-0.0304,0.0002,9026790.191,0.200,24954.905,0.186
3,7,Li,,,,,FALSE,,,2,N,100,,,,,,,,,,,,10035483.453,13.656,33052.628,12.721
3,8,Li,2.4820,0.0430,,,FALSE,0.00875,0.00014,5/2,B-,100,,B-N,,,,,,3.6711,0.0002,-0.0333,0.0005,11043723.581,0.660,40728.259,0.615
3,9,Li,,,,,FALSE,,,,N,100,,,,,,,,,,,,12052613.942,32.213,49009.577,30.006
