date,open,high,low,close,volume,adj_close
2015-12-31,2060.5901,2062.5400,2043.6200,2043.9399,2655330000,2043.9399
2015-12-30,2077.3401,2077.3401,2061.9700,2063.3601,2367430000,2063.3601
2015-12-29,2060.5400,2081.5601,2060.5400,2078.3601,2542000000,2078.3601
2015-12-28,2057.7700,2057.7700,2044.2000,2056.5000,2492510000,2056.5000
2015-12-24,2063.5200,2067.3601,2058.7300,2060.9900,1411860000,2060.9900
2015-12-23,2042.2000,2064.7300,2042.2000,2064.2900,3484090000,2064.2900
2015-12-22,2023.1500,2042.7400,2020.4900,2038.9700,3520860000,2038.9700
2015-12-21,2010.2700,2022.9000,2005.9301,2021.1500,3760280000,2021.1500
2015-12-18,2040.8101,2040.8101,2005.3300,2005.5500,6683070000,2005.5500
2015-12-17,2073.7600,2076.3701,2041.6600,2041.8900,4327390000,2041.8900
2015-12-16,2046.5000,2076.7200,2042.4301,2073.0701,4635450000,2073.0701
2015-12-15,2025.5500,2053.8701,2025.5500,2043.4100,4353540000,2043.4100
2015-12-14,2013.3700,2022.9200,1993.2600,2021.9399,4612440000,2021.9399
2015-12-11,2047.2700,2047.2700,2008.8000,2012.3700,4301060000,2012.3700
2015-12-10,2047.9301,2067.6499,2045.6700,2052.2300,3715150000,2052.2300
2015-12-09,2061.1699,2080.3301,2036.5300,2047.6200,4385250000,2047.6200
2015-12-08,2073.3899,2073.8501,2052.3201,2063.5901,4173570000,2063.5901
2015-12-07,2090.4199,2090.4199,2066.7800,2077.0701,4043820000,2077.0701
2015-12-04,2051.2400,2093.8401,2051.2400,2091.6899,4214910000,2091.6899
2015-12-03,2080.7100,2085.0000,2042.3500,2049.6201,4306490000,2049.6201
2015-12-02,2101.7100,2104.2700,2077.1101,2079.5100,3950640000,2079.5100
2015-12-01,2082.9299,2103.3701,2082.9299,2102.6299,3712120000,2102.6299
2015-11-30,2090.9500,2093.8101,2080.4099,2080.4099,4245030000,2080.4099
2015-11-27,2088.8201,2093.2900,2084.1299,2090.1101,1466840000,2090.1101
2015-11-25,2089.3000,2093.0000,2086.3000,2088.8701,2852940000,2088.8701
2015-11-24,2084.4199,2094.1201,2070.2900,2089.1399,3884930000,2089.1399
2015-11-23,2089.4099,2095.6101,2081.3899,2086.5901,3587980000,2086.5901
2015-11-20,2082.8201,2097.0601,2082.8201,2089.1699,3929600000,2089.1699
2015-11-19,2083.7000,2086.7400,2078.7600,2081.2400,3628110000,2081.2400
2015-11-18,2051.9900,2085.3101,2051.9900,2083.5801,3926390000,2083.5801
2015-11-17,2053.6699,2066.6899,2045.9000,2050.4399,4427350000,2050.4399
2015-11-16,2022.0800,2053.2200,2019.3900,2053.1899,3741240000,2053.1899
2015-11-13,2044.6400,2044.6400,2022.0200,2023.0400,4278750000,2023.0400
2015-11-12,2072.2900,2072.2900,2045.6600,2045.9700,4016370000,2045.9700
2015-11-11,2083.4099,2086.9399,2074.8501,2075.0000,3692410000,2075.0000
2015-11-10,2077.1899,2083.6699,2069.9099,2081.7200,3821440000,2081.7200
2015-11-09,2096.5601,2096.5601,2068.2400,2078.5801,3882350000,2078.5801
2015-11-06,2098.6001,2101.9099,2083.7400,2099.2000,4369020000,2099.2000
2015-11-05,2101.6799,2108.7800,2090.4099,2099.9299,4051890000,2099.9299
2015-11-04,2110.6001,2114.5901,2096.9800,2102.3101,4078870000,2102.3101
2015-11-03,2102.6299,2116.4800,2097.5100,2109.7900,4272060000,2109.7900
2015-11-02,2080.7600,2106.2000,2080.7600,2104.0500,3760020000,2104.0500
2015-10-30,2090.0000,2094.3201,2079.3401,2079.3601,4256200000,2079.3601
2015-10-29,2088.3501,2092.5200,2082.6299,2089.4099,4008940000,2089.4099
2015-10-28,2066.4800,2090.3501,2063.1101,2090.3501,4698110000,2090.3501
2015-10-27,2068.7500,2070.3701,2058.8401,2065.8899,4216880000,2065.8899
2015-10-26,2075.0801,2075.1399,2066.5300,2071.1799,3385800000,2071.1799
2015-10-23,2058.1899,2079.7400,2058.1899,2075.1499,4108460000,2075.1499
2015-10-22,2021.8800,2055.2000,2021.8800,2052.5100,4430850000,2052.5100
2015-10-21,2033.4700,2037.9700,2017.2200,2018.9399,3627790000,2018.9399
2015-10-20,2033.1300,2039.1200,2026.6100,2030.7700,3331500000,2030.7700
2015-10-19,2031.7300,2034.4500,2022.3101,2033.6600,3287320000,2033.6600
2015-10-16,2024.3700,2033.5400,2020.4600,2033.1100,3595430000,2033.1100
2015-10-15,1996.4700,2024.1500,1996.4700,2023.8600,3746290000,2023.8600
2015-10-14,2003.6600,2009.5601,1990.7300,1994.2400,3644590000,1994.2400
2015-10-13,2015.0000,2022.3400,2001.7800,2003.6899,3401920000,2003.6899
2015-10-12,2015.6500,2018.6600,2010.5500,2017.4600,2893250000,2017.4600
2015-10-09,2013.7300,2020.1300,2007.6100,2014.8900,3706900000,2014.8900
2015-10-08,1994.0100,2016.5000,1987.5300,2013.4301,3939140000,2013.4301
2015-10-07,1982.3400,1999.3101,1976.4399,1995.8300,4666470000,1995.8300
2015-10-06,1986.6300,1991.6200,1971.9900,1979.9200,4202400000,1979.9200
2015-10-05,1954.3300,1989.1700,1954.3300,1987.0500,4334490000,1987.0500
2015-10-02,1921.7700,1951.3600,1893.7000,1951.3600,4378570000,1951.3600
2015-10-01,1919.6500,1927.2100,1900.7000,1923.8199,3983600000,1923.8199
2015-09-30,1887.1400,1920.5300,1887.1400,1920.0300,4525070000,1920.0300
2015-09-29,1881.9000,1899.4800,1871.9100,1884.0900,4132390000,1884.0900
2015-09-28,1929.1801,1929.1801,1879.2100,1881.7700,4326660000,1881.7700
2015-09-25,1935.9301,1952.8900,1921.5000,1931.3400,3721870000,1931.3400
2015-09-24,1934.8101,1937.1700,1908.9200,1932.2400,4091530000,1932.2400
2015-09-23,1943.2400,1949.5200,1932.5699,1938.7600,3190530000,1938.7600
2015-09-22,1961.3900,1961.3900,1929.2200,1942.7400,3808260000,1942.7400
2015-09-21,1960.8400,1979.6400,1955.8000,1966.9700,3269350000,1966.9700
2015-09-18,1989.6600,1989.6600,1953.4500,1958.0300,6021240000,1958.0300
2015-09-17,1995.3300,2020.8600,1986.7300,1990.2000,4183790000,1990.2000
2015-09-16,1978.0200,1997.2600,1977.9301,1995.3101,3630680000,1995.3101
2015-09-15,1955.1000,1983.1899,1954.3000,1978.0900,3239860000,1978.0900
2015-09-14,1963.0601,1963.0601,1948.2700,1953.0300,3000200000,1953.0300
2015-09-11,1951.4500,1961.0500,1939.1899,1961.0500,3218590000,1961.0500
2015-09-10,1941.5900,1965.2900,1937.1899,1952.2900,3626320000,1952.2900
2015-09-09,1971.4500,1988.6300,1937.8800,1942.0400,3652120000,1942.0400
2015-09-08,1927.3000,1970.4200,1927.3000,1969.4100,3548650000,1969.4100
2015-09-04,1947.7600,1947.7600,1911.2100,1921.2200,3167090000,1921.2200
2015-09-03,1950.7900,1975.0100,1944.7200,1951.1300,3520700000,1951.1300
2015-09-02,1916.5200,1948.9100,1916.5200,1948.8600,3742620000,1948.8600
2015-09-01,1970.0900,1970.0900,1903.0699,1913.8500,4371850000,1913.8500
2015-08-31,1986.7300,1986.7300,1965.9800,1972.1801,3915100000,1972.1801
2015-08-28,1986.0601,1993.4800,1975.1899,1988.8700,3949080000,1988.8700
2015-08-27,1942.7700,1989.6000,1942.7700,1987.6600,5006390000,1987.6600
2015-08-26,1872.7500,1943.0900,1872.7500,1940.5100,5338250000,1940.5100
2015-08-25,1898.0800,1948.0400,1867.0800,1867.6100,5183560000,1867.6100
2015-08-24,1965.1500,1965.1500,1867.0100,1893.2100,6612690000,1893.2100
2015-08-21,2034.0800,2034.0800,1970.8900,1970.8900,5018240000,1970.8900
2015-08-20,2076.6101,2076.6101,2035.7300,2035.7300,3922470000,2035.7300
2015-08-19,2095.6899,2096.1699,2070.5300,2079.6101,3512920000,2079.6101
2015-08-18,2101.9900,2103.4700,2094.1399,2096.9199,2949990000,2096.9199
2015-08-17,2089.7000,2102.8701,2079.3000,2102.4399,2867690000,2102.4399
2015-08-14,2083.1499,2092.4500,2080.6101,2091.5400,2795590000,2091.5400
2015-08-13,2086.1899,2092.9299,2078.2600,2083.3899,3221300000,2083.3899
2015-08-12,2081.1001,2089.0601,2052.0901,2086.0500,4269130000,2086.0500
2015-08-11,2102.6599,2102.6599,2076.4900,2084.0701,3708880000,2084.0701
2015-08-10,2080.9800,2105.3501,2080.9800,2104.1799,3514460000,2104.1799
2015-08-07,2082.6101,2082.6101,2067.9099,2077.5701,3602320000,2077.5701
2015-08-06,2100.7500,2103.3201,2075.5300,2083.5601,4246570000,2083.5601
2015-08-05,2095.2700,2112.6599,2095.2700,2099.8401,3968680000,2099.8401
2015-08-04,2097.6799,2102.5100,2088.6001,2093.3201,3546710000,2093.3201
2015-08-03,2104.4900,2105.7000,2087.3101,2098.0400,3476770000,2098.0400
2015-07-31,2111.6001,2114.2400,2102.0701,2103.8401,3681340000,2103.8401
2015-07-30,2106.7800,2110.4800,2094.9700,2108.6299,3579410000,2108.6299
2015-07-29,2094.7000,2110.6001,2094.0801,2108.5701,4038900000,2108.5701
2015-07-28,2070.7500,2095.6001,2069.0901,2093.2500,4117740000,2093.2500
2015-07-27,2078.1899,2078.1899,2063.5200,2067.6399,3836750000,2067.6399
2015-07-24,2102.2400,2106.0100,2077.0901,2079.6499,3870040000,2079.6499
2015-07-23,2114.1599,2116.8701,2098.6299,2102.1499,3772810000,2102.1499
2015-07-22,2118.2100,2118.5100,2110.0000,2114.1499,3694070000,2114.1499
2015-07-21,2127.5500,2128.4900,2115.3999,2119.2100,3343690000,2119.2100
2015-07-20,2126.8501,2132.8201,2123.6599,2128.2800,3245870000,2128.2800
2015-07-17,2126.8000,2128.9099,2119.8799,2126.6399,3362750000,2126.6399
2015-07-16,2110.5500,2124.4199,2110.5500,2124.2900,3227080000,2124.2900
2015-07-15,2109.0100,2114.1399,2102.4900,2107.3999,3261810000,2107.3999
2015-07-14,2099.7200,2111.9800,2098.1799,2108.9500,3002120000,2108.9500
2015-07-13,2080.0300,2100.6699,2080.0300,2099.6001,3096730000,2099.6001
2015-07-10,2052.7400,2081.3101,2052.7400,2076.6201,3065070000,2076.6201
2015-07-09,2049.7300,2074.2800,2049.7300,2051.3101,3446810000,2051.3101
2015-07-08,2077.6599,2077.6599,2044.6600,2046.6801,3608780000,2046.6801
2015-07-07,2069.5200,2083.7400,2044.0200,2081.3401,4458660000,2081.3401
2015-07-06,2073.9500,2078.6101,2058.3999,2068.7600,3486360000,2068.7600
2015-07-02,2078.0300,2085.0601,2071.0200,2076.7800,2996540000,2076.7800
2015-07-01,2067.0000,2082.7800,2067.0000,2077.4199,3727260000,2077.4199
2015-06-30,2061.1899,2074.2800,2056.3201,2063.1101,4078540000,2063.1101
2015-06-29,2098.6299,2098.6299,2056.6399,2057.6399,3678960000,2057.6399
2015-06-26,2102.6201,2108.9199,2095.3799,2101.4900,5025470000,2101.4900
2015-06-25,2109.9600,2116.0400,2101.7800,2102.3101,3214610000,2102.3101
2015-06-24,2123.6499,2125.1001,2108.5801,2108.5801,3102480000,2108.5801
2015-06-23,2123.1599,2128.0300,2119.8899,2124.2000,3091190000,2124.2000
2015-06-22,2112.5000,2129.8701,2112.5000,2122.8501,3030020000,2122.8501
2015-06-19,2121.0601,2121.6399,2109.4500,2109.9900,4449810000,2109.9900
2015-06-18,2101.5801,2126.6499,2101.5801,2121.2400,3520360000,2121.2400
2015-06-17,2097.3999,2106.7900,2088.8601,2100.4399,3222240000,2100.4399
2015-06-16,2084.2600,2097.3999,2082.1001,2096.2900,2919900000,2096.2900
2015-06-15,2091.3401,2091.3401,2072.4900,2084.4299,3061570000,2084.4299
2015-06-12,2107.4299,2107.4299,2091.3301,2094.1101,2719400000,2094.1101
2015-06-11,2106.2400,2115.0200,2106.2400,2108.8601,3128600000,2108.8601
2015-06-10,2081.1201,2108.5000,2081.1201,2105.2000,3414320000,2105.2000
2015-06-09,2079.0701,2085.6201,2072.1399,2080.1499,3034580000,2080.1499
2015-06-08,2092.3401,2093.0100,2079.1101,2079.2800,2917150000,2079.2800
2015-06-05,2095.0901,2100.9900,2085.6699,2092.8301,3243690000,2092.8301
2015-06-04,2112.3501,2112.8899,2093.2300,2095.8401,3200050000,2095.8401
2015-06-03,2110.6399,2121.9199,2109.6101,2114.0701,3099980000,2114.0701
2015-06-02,2110.4099,2117.5901,2099.1399,2109.6001,3049350000,2109.6001
2015-06-01,2108.6399,2119.1499,2102.5400,2111.7300,3011710000,2111.7300
2015-05-29,2120.6599,2120.6599,2104.8899,2107.3899,3927390000,2107.3899
2015-05-28,2122.2700,2122.2700,2112.8601,2120.7900,2980350000,2120.7900
2015-05-27,2105.1299,2126.2200,2105.1299,2123.4800,3127960000,2123.4800
2015-05-26,2125.3401,2125.3401,2099.1799,2104.2000,3342130000,2104.2000
2015-05-22,2130.3601,2132.1499,2126.0601,2126.0601,2571860000,2126.0601
2015-05-21,2125.5500,2134.2800,2122.9500,2130.8201,3070460000,2130.8201
2015-05-20,2127.7900,2134.7200,2122.5901,2125.8501,3025880000,2125.8501
2015-05-19,2129.4500,2133.0200,2124.5000,2127.8301,3296030000,2127.8301
2015-05-18,2121.3000,2131.7800,2120.0100,2129.2000,2888190000,2129.2000
2015-05-15,2122.0701,2123.8899,2116.8101,2122.7300,3092080000,2122.7300
2015-05-14,2100.4299,2121.4500,2100.4299,2121.1001,3225740000,2121.1001
2015-05-13,2099.6201,2110.1899,2096.0400,2098.4800,3374260000,2098.4800
2015-05-12,2102.8701,2105.0601,2085.5701,2099.1201,3139520000,2099.1201
2015-05-11,2115.5601,2117.6899,2104.5801,2105.3301,2992670000,2105.3301
2015-05-08,2092.1299,2117.6599,2092.1299,2116.1001,3399440000,2116.1001
2015-05-07,2079.9600,2092.8999,2074.9900,2088.0000,3676640000,2088.0000
2015-05-06,2091.2600,2098.4199,2067.9299,2080.1499,3792210000,2080.1499
2015-05-05,2112.6299,2115.2400,2088.4600,2089.4600,3793950000,2089.4600
2015-05-04,2110.2300,2120.9500,2110.2300,2114.4900,3091580000,2114.4900
2015-05-01,2087.3799,2108.4099,2087.3799,2108.2900,3379390000,2108.2900
2015-04-30,2105.5200,2105.5200,2077.5901,2085.5100,4509680000,2085.5100
2015-04-29,2112.4900,2113.6499,2097.4099,2106.8501,4074970000,2106.8501
2015-04-28,2108.3501,2116.0400,2094.8899,2114.7600,3546270000,2114.7600
2015-04-27,2119.2900,2125.9199,2107.0400,2108.9199,3438750000,2108.9199
2015-04-24,2112.8000,2120.9199,2112.8000,2117.6899,3375780000,2117.6899
2015-04-23,2107.2100,2120.4900,2103.1899,2112.9299,3636670000,2112.9299
2015-04-22,2098.2700,2109.9800,2091.0500,2107.9600,3348480000,2107.9600
2015-04-21,2102.8201,2109.6399,2094.3799,2097.2900,3243410000,2097.2900
2015-04-20,2084.1101,2103.9399,2084.1101,2100.3999,3000160000,2100.3999
2015-04-17,2102.5801,2102.5801,2072.3701,2081.1799,3627600000,2081.1799
2015-04-16,2105.9600,2111.3000,2100.0200,2104.9900,3434120000,2104.9900
2015-04-15,2097.8201,2111.9099,2097.8201,2106.6299,4013760000,2106.6299
2015-04-14,2092.2800,2098.6201,2083.2400,2095.8401,3301270000,2095.8401
2015-04-13,2102.0300,2107.6499,2092.3301,2092.4299,2908420000,2092.4299
2015-04-10,2091.5100,2102.6101,2091.5100,2102.0601,536200000,2102.0601
2015-04-09,2081.2900,2093.3101,2074.2900,2091.1799,3172360000,2091.1799
2015-04-08,2076.9399,2086.6899,2073.3000,2081.8999,3265330000,2081.8999
2015-04-07,2080.7900,2089.8101,2076.1001,2076.3301,3065510000,2076.3301
2015-04-06,2064.8701,2086.9900,2056.5200,2080.6201,3302970000,2080.6201
2015-04-02,2060.0300,2072.1699,2057.3201,2066.9600,3095960000,2066.9600
2015-04-01,2067.6299,2067.6299,2048.3799,2059.6899,3543270000,2059.6899
2015-03-31,2084.0500,2084.0500,2067.0400,2067.8899,3376550000,2067.8899
2015-03-30,2064.1101,2088.9700,2064.1101,2086.2400,2917690000,2086.2400
2015-03-27,2055.7800,2062.8301,2052.9600,2061.0200,3008550000,2061.0200
2015-03-26,2059.9399,2067.1499,2045.5000,2056.1499,3510670000,2056.1499
2015-03-25,2093.1001,2097.4299,2061.0500,2061.0500,3521140000,2061.0500
2015-03-24,2103.9399,2107.6299,2091.5000,2091.5000,3189820000,2091.5000
2015-03-23,2107.9900,2114.8601,2104.4199,2104.4199,3267960000,2104.4199
2015-03-20,2090.3201,2113.9199,2090.3201,2108.1001,5554120000,2108.1001
2015-03-19,2098.6899,2098.6899,2085.5601,2089.2700,3305220000,2089.2700
2015-03-18,2072.8401,2106.8501,2061.2300,2099.5000,4128210000,2099.5000
2015-03-17,2080.5901,2080.5901,2065.0801,2074.2800,3221840000,2074.2800
2015-03-16,2055.3501,2081.4099,2055.3501,2081.1899,3295600000,2081.1899
2015-03-13,2064.5601,2064.5601,2041.1700,2053.3999,3498560000,2053.3999
2015-03-12,2041.1000,2066.4099,2041.1000,2065.9500,3405860000,2065.9500
2015-03-11,2044.6899,2050.0801,2039.6899,2040.2400,3406570000,2040.2400
2015-03-10,2076.1399,2076.1399,2044.1600,2044.1600,3668900000,2044.1600
2015-03-09,2072.2500,2083.4900,2072.2100,2079.4299,3349090000,2079.4299
2015-03-06,2100.9099,2100.9099,2067.2700,2071.2600,3853570000,2071.2600
2015-03-05,2098.5400,2104.2500,2095.2200,2101.0400,3103030000,2101.0400
2015-03-04,2107.7200,2107.7200,2094.4900,2098.5300,3421110000,2098.5300
2015-03-03,2115.7600,2115.7600,2098.2600,2107.7800,3262300000,2107.7800
2015-03-02,2105.2300,2117.5200,2104.5000,2117.3899,3409490000,2117.3899
2015-02-27,2110.8799,2112.7400,2103.7500,2104.5000,3547380000,2104.5000
