number,af,ak,am,ar,az,be,bg,bs,ca,ccp,chr,cs,cy,da,de-CH,de,ee,el,en,eo,es,et,fa,ff,fi,fil,fo,fr-BE,fr-CH,fr,ga,he,hi,hr,hu,hy,id,is,it,ja,ka,kk,kl,km,ko,ky,lb,lo,lrc,lt,lv,mk,ms,mt,my,ne,nl,nn,no,pl,pt,qu,ro,ru,se,sk,sl,sq,sr-Latn,sr,su,sv,sw,ta,th,tr,uk,vi,yue,zh
0,nul,hwee,ባዶ,صفر,sıfır,нуль,нула,nula,zero,𑄥𑄪𑄚𑄳𑄠𑄴𑄧,ꮭ ꭺꮝꮧ,nula,dim,nul,null,null,ɖekeo,μηδέν,zero,nulo,cero,null,صفر,ɓolum,nolla,walâ,null,zéro,zéro,zéro,a náid,אפס,शून्य,nula,nulla,զրո,kosong,núll,zero,〇,ნული,нөл,nuulu,សូន្យ,영,нөл,null,ศูนย์,صفر,nulis,nulle,нула,kosong,żero,သုည,शुन्य,nul,null,null,zero,zero,chusaq,zero,ноль,nolla,nula,nič,zero,nula,нула,nol,noll,sifuri,பூஜ்யம்,ศูนย์,sıfır,нуль,không,零,〇
1,een,koro,አንድ,واحد,bir,адзiн,едно,jedno,u,𑄆𑄇𑄴,ꮠꮼ,jedno,un,et,eins,eins,ɖeka,ένα,one,unu,uno,üks,یک,goʼo,yksi,isá,eitt,un,un,un,a haon,אחת,एक,jedno,egy,մեկ,satu,eitt,uno,一,ერთი,бір,ataaseq,មួយ,일,бир,een,ໜຶ່ງ,یٱک,vienas,viens,едно,satu,wieħed,တစ်,एक,een,eitt,ett,jedno,um,huk,unu,одно,okta,jedno,ena,një,jedno,једно,hiji,ett,moja,ஒன்று,หนึ่ง,bir,один,một,一,一
2,twee,abien,ሁለት,إثنان,iki,два,две,dva,dos,𑄘𑄨,ꮤꮅ,dvě,dau,to,zwei,zwei,eve,δύο,two,du,dos,kaks,دو,ɗiɗi,kaksi,dalawá,tvey,deux,deux,deux,a dó,שתיים,दो,dva,kettő,երկու,dua,tvö,due,二,ორი,екі,marluk,ពីរ,이,эки,zwee,ສອງ,دۏ,du,divi,два,dua,tnejn,နှစ်,दुई,twee,to,to,dwa,dois,iskay,două,два,guokte,dve,dve,dy,dva,два,dua,två,mbili,இரண்டு,สอง,iki,два,hai,二,二
3,drie,abiasa,ሦስት,ثلاثة,üç,тры,три,tri,tres,𑄖𑄨𑄚𑄴,ꮶꭲ,tři,tri,tre,drei,drei,etɔ̃,τρία,three,tri,tres,kolm,سه,tati,kolme,tatló,trý,trois,trois,trois,a trí,שלוש,तीन,tri,három,երեք,tiga,þrjú,tre,三,სამი,үш,pingasut,បី,삼,үч,dräi,ສາມ,ساٛ,trys,trīs,три,tiga,tlieta,သုံး,तिन,drie,tre,tre,trzy,três,kinsa,trei,три,golbma,tri,tri,tre,tri,три,tilu,tre,tatu,மூன்று,สาม,üç,три,ba,三,三
4,vier,anan,አራት,أربعة,dörd,чатыры,четири,četiri,quatre,𑄌𑄳𑄆𑄬𑄢𑄴,ꮕꭹ,čtyři,pedwar,fire,vier,vier,ene,τέσσερα,four,kvar,cuatro,neli,چهار,nawi,neljä,ápat,fýre,quatre,quatre,quatre,a ceathair,ארבע,चार,četiri,négy,չորս,empat,fjögur,quattro,四,ოთხი,төрт,sisamat,បួន,사,төрт,véier,ສີ່,چار,keturi,četri,четири,empat,erbgħa,လေး,चार,vier,fire,fire,cztery,quatro,tawa,patru,четыре,njeallje,štyri,štiri,katër,četiri,четири,opat,fyra,nne,நான்கு,สี่,dört,чотири,bốn,四,四
5,vyf,anum,አምስት,خمسة,beş,пяць,пет,pet,cinc,𑄛𑄌𑄴,ꭿꮝꭹ,pět,pump,fem,fünf,fünf,atɔ̃,πέντε,five,kvin,cinco,viis,پنج,jowi,viisi,limá,fimm,cinq,cinq,cinq,a cúig,חמש,पाँच,pet,öt,հինգ,lima,fimm,cinque,伍,ხუთი,бес,tallimat,ប្រាំ,오,беш,fënnef,ຫ້າ,پنج,penki,pieci,пет,lima,ħamsa,ငါး,पाँच,vijf,fem,fem,pięć,cinco,phisqa,cinci,пять,vihtta,päť,pet,pesë,pet,пет,lima,fem,tano,ஐந்து,ห้า,beş,пʼять,năm,五,五
6,ses,asia,ስድስት,ستة,altı,шэсць,шест,šest,sis,𑄍𑄧,ꮡꮣꮅ,šest,chwech,seks,sechs,sechs,ade,έξι,six,ses,seis,kuus,شش,jeegoʼo,kuusi,anim,seks,six,six,six,a sé,שש,छह,šest,hat,վեց,enam,sex,sei,六,ექვსი,алты,arfinillit,ប្រាំមួយ,육,алты,sechs,ຫົກ,شٱش,šeši,seši,шест,enam,sitta,ခြောက်,छ,zes,seks,seks,sześć,seis,suqta,şase,шесть,guhtta,šesť,šest,gjashtë,šest,шест,genep,sex,sita,ஆறு,หก,altı,шість,sáu,六,六
7,sewe,asuon,ሰባት,سبعة,yeddi,сем,седем,sedam,set,𑄥𑄖𑄴,ꭶꮅꮙꭹ,sedm,saith,syv,sieben,sieben,adre,επτά,seven,sep,siete,seitse,هفت,jeeɗiɗi,seitsemän,pitó,sjey,sept,sept,sept,a seacht,שבע,सात,sedam,hét,յոթ,tujuh,sjó,sette,七,შვიდი,жеті,arfineq-marluk,ប្រាំពីរ,칠,жети,siwen,ເຈັດ,هفت,septyni,septiņi,седум,tujuh,sebgħa,နှစ်,सात,zeven,sju,sju,siedem,sete,qanchis,şapte,семь,čieža,sedem,sedem,shtatë,sedam,седам,tujuh,sju,saba,ஏழு,เจ็ด,yedi,сім,bảy,七,七
8,agt,awɔtwe,ስምንት,ثمانية,səkkiz,восем,осем,osam,vuit,𑄃𑄖𑄳𑄠𑄴𑄧,ꮷꮑꮃ,osm,wyth,otte,acht,acht,enyi,οκτώ,eight,ok,ocho,kaheksa,هشت,jeetati,kahdeksan,waló,átta,huit,huit,huit,a hocht,שמונה,आठ,osam,nyolc,ութ,delapan,átta,otto,八,რვა,сегіз,arfineq-pingasut,ប្រាំបី,팔,сегиз,aacht,ແປດ,هشت,aštuoni,astoņi,осум,lapan,tmienja,ရှစ်,आठ,acht,åtte,åtte,osiem,oito,pusaq,opt,восемь,gávcci,osem,osem,tetë,osam,осам,dalapan,åtta,nane,எட்டு,แปด,sekiz,вісім,tám,八,八
9,nege,akron,ዘጠኝ,تسعة,doqquz,дзевяць,девет,devet,nou,𑄚𑄧,ꮠꮑꮃ,devět,naw,ni,neun,neun,asieke,εννέα,nine,naŭ,nueve,üheksa,نه,jeenawi,yhdeksän,siyám,níggju,neuf,neuf,neuf,a naoi,תשע,नौ,devet,kilenc,ինը,sembilan,níu,nove,九,ცხრა,тоғыз,arfineq-sisamat,ប្រាំបួន,구,тогуз,néng,ເກົ້າ,نۏ,devyni,deviņi,девет,sembilan,disgħa,ကိုး,नौ,negen,ni,ni,dziewięć,nove,isqun,nouă,девять,ovcci,deväť,devet,nëntë,devet,девет,salapan,nio,tisa,ஒன்பது,เก้า,dokuz,девʼять,chín,九,九
