name,coordinates,website,status,csd_type,census_div,land_area_km,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
Addington Highlands,"45, -77.25",https://addingtonhighlands.ca,lower-tier,township,Lennox and Addington,1293.99,2429,2402,2512,2517,2318,2534,1.88,1.86,1.94,1.95,1.79,1.96,-0.0111,0.0458,0.0020,-0.0791,0.0932
Adelaide Metcalfe,"42.95, -81.7",https://adelaidemetcalfe.on.ca,lower-tier,township,Middlesex,331.11,3128,3149,3135,3028,2990,3011,9.45,9.51,9.47,9.14,9.03,9.09,0.0067,-0.0044,-0.0341,-0.0125,0.0070
Adjala-Tosorontio,"44.133333, -79.933333",https://www.adjtos.ca,lower-tier,township,Simcoe,371.53,9359,10082,10695,10603,10975,10989,25.19,27.14,28.79,28.54,29.54,29.58,0.0773,0.0608,-0.0086,0.0351,0.0013
Admaston/Bromley,"45.529167, -76.896944",https://admastonbromley.com,lower-tier,township,Renfrew,519.59,2837,2824,2716,2844,2935,2995,5.46,5.44,5.23,5.47,5.65,5.76,-0.0046,-0.0382,0.0471,0.0320,0.0204
Ajax,"43.858333, -79.036389",https://www.ajax.ca,lower-tier,town,Durham,66.64,64430,73753,90167,109600,119677,126666,966.84,1106.74,1353.05,1644.66,1795.87,1900.75,0.1447,0.2226,0.2155,0.0919,0.0584
Alberton,"48.6, -93.533333",https://alberton.ca,single-tier,township,Rainy River,116.60,1027,956,958,864,969,954,8.81,8.20,8.22,7.41,8.31,8.18,-0.0691,0.0021,-0.0981,0.1215,-0.0155
Alfred and Plantagenet,"45.566667, -74.916667",https://www.alfred-plantagenet.com,lower-tier,township,Prescott and Russell,391.79,8315,8593,8654,9196,9680,9949,21.22,21.93,22.09,23.47,24.71,25.39,0.0334,0.0071,0.0626,0.0526,0.0278
Algonquin Highlands,"45.4, -78.75",https://www.algonquinhighlands.ca,lower-tier,township,Haliburton,999.69,1687,1827,1976,2186,2351,2588,1.69,1.83,1.98,2.19,2.35,2.59,0.0830,0.0816,0.1063,0.0755,0.1008
Alnwick/Haldimand,"44.083333, -78.033333",https://www.ahtwp.ca,lower-tier,township,Northumberland,398.25,5528,5846,6435,6617,6869,7473,13.88,14.68,16.16,16.62,17.25,18.76,0.0575,0.1008,0.0283,0.0381,0.0879
Amaranth,"43.983333, -80.233333",https://www.amaranth.ca,lower-tier,township,Dufferin,265.02,3450,3770,3845,3963,4079,4327,13.02,14.23,14.51,14.95,15.39,16.33,0.0928,0.0199,0.0307,0.0293,0.0608
Amherstburg,"42.1, -83.083333",https://www.amherstburg.ca,lower-tier,town,Essex,183.76,19273,20339,21748,21556,21936,23524,104.88,110.68,118.35,117.31,119.37,128.01,0.0553,0.0693,-0.0088,0.0176,0.0724
The Archipelago,"45.583333, -80.383333",https://www.thearchipelago.on.ca,single-tier,township,Parry Sound,592.14,555,505,576,566,531,979,0.94,0.85,0.97,0.96,0.90,1.65,-0.0901,0.1406,-0.0174,-0.0618,0.8437
