name,designer,license,category,date_added
ABeeZee,Anja Meiners,OFL,SANS_SERIF,2012-09-30
Abel,MADType,OFL,SANS_SERIF,2011-08-03
Abhaya Libre,Mooniak,OFL,SERIF,2016-08-30
Abril Fatface,TypeTogether,OFL,DISPLAY,2011-08-31
Abyssinica SIL,SIL International,OFL,SERIF,2016-01-20
Acme,Huerta Tipográfica,OFL,SANS_SERIF,2011-12-19
Actor,Thomas Junold,OFL,SANS_SERIF,2011-08-03
Adamina,Cyreal,OFL,SERIF,2011-09-07
Adobe Blank,Dr. Ken Lunde,OFL,MONOSPACE,2016-03-23
Advent Pro,Andreas Kalpakidis,OFL,SANS_SERIF,2012-02-29
Aguafina Script,Sudtipos,OFL,HANDWRITING,2011-11-30
Akronim,Grzegorz Klimczewski,OFL,DISPLAY,2012-09-23
Aladin,Sudtipos,OFL,HANDWRITING,2011-11-30
Alata,"Spyros Zevelakis, Eben Sorkin",OFL,SANS_SERIF,2019-11-08
Alatsi,"Spyros Zevelakis, Eben Sorkin",OFL,SANS_SERIF,2019-11-07
Aldrich,MADType,OFL,SANS_SERIF,2011-08-17
Alef,"Hagilda, Mushon Zer-Aviv",OFL,SANS_SERIF,2013-05-21
Alegreya,Huerta Tipogr\303\241fica,OFL,SERIF,2011-12-19
Alegreya Sans,Juan Pablo del Peral,OFL,SANS_SERIF,2013-12-04
Alegreya Sans SC,Juan Pablo del Peral,OFL,SANS_SERIF,2013-12-04
Alegreya SC,Huerta Tipogr\303\241fica,OFL,SERIF,2011-12-19
Aleo,"Alessio Laiso, Kevin Conroy",OFL,SERIF,2018-12-05
Alex Brush,TypeSETit,OFL,HANDWRITING,2011-12-19
Alfa Slab One,JM Solé,OFL,DISPLAY,2011-12-19
Alice,Cyreal,OFL,SERIF,2011-08-10
Alike,Cyreal,OFL,SERIF,2011-08-24
Alike Angular,Cyreal,OFL,SERIF,2011-09-28
Allan,Anton Koovit,OFL,DISPLAY,2012-09-06
Allerta,Matt McInerney,OFL,SANS_SERIF,2010-11-30
Allerta Stencil,Matt McInerney,OFL,SANS_SERIF,2010-11-30
Allura,TypeSETit,OFL,HANDWRITING,2012-02-08
Almarai,Boutros Fonts,OFL,SANS_SERIF,2019-06-04
Almendra,Ana Sanfelippo,OFL,SERIF,2011-12-19
Almendra Display,Ana Sanfelippo,OFL,DISPLAY,2012-11-12
Almendra SC,Ana Sanfelippo,OFL,SERIF,2011-12-19
Amarante,Karolina Lach,OFL,DISPLAY,2012-07-10
Amaranth,Gesine Todt,OFL,SANS_SERIF,2011-05-04
Amatica SC,Multiple Designers,OFL,DISPLAY,2016-06-20
Amatic SC,"Vernon Adams, Ben Nathan, Thomas Jockin",OFL,HANDWRITING,2011-10-12
Amethysta,Cyreal,OFL,SERIF,2012-01-18
Amiko,Impallari Type,OFL,SANS_SERIF,2016-06-20
Amiri,"Khaled Hosny, Sebastian Kosch",OFL,SERIF,2012-07-30
Amita,Multiple Designers,OFL,HANDWRITING,2015-05-20
Anaheim,Vernon Adams,OFL,SANS_SERIF,2012-10-31
Andada,Huerta Tipográfica,OFL,SERIF,2011-10-05
Andada SC,Huerta Tipográfica,OFL,SERIF,2012-11-12
Andika,SIL International,OFL,SANS_SERIF,2011-08-10
Angkor,Danh Hong,OFL,DISPLAY,2011-03-02
Annie Use Your Telescope,Kimberly Geswein,OFL,HANDWRITING,2011-04-14
Anonymous Pro,Mark Simonson,OFL,MONOSPACE,2010-12-15
Antic,Santiago Orozco,OFL,SANS_SERIF,2011-08-31
Antic Didone,Santiago Orozco,OFL,SERIF,2012-03-14
Antic Slab,Santiago Orozco,OFL,SERIF,2012-03-14
Anton,Vernon Adams,OFL,SANS_SERIF,2011-02-23
Antonio,Vernon Adams,OFL,SANS_SERIF,2013-03-06
Arapey,Eduardo Tunni,OFL,SERIF,2011-11-02
Arbutus,Karolina Lach,OFL,DISPLAY,2011-12-07
Arbutus Slab,Karolina Lach,OFL,SERIF,2012-09-18
Architects Daughter,Kimberly Geswein,OFL,HANDWRITING,2011-03-09
Archivo,Omnibus-Type,OFL,SANS_SERIF,2016-12-03
Archivo Black,Omnibus-Type,OFL,SANS_SERIF,2012-09-18
Archivo Narrow,Omnibus-Type,OFL,SANS_SERIF,2012-09-18
Aref Ruqaa,"Abdullah Aref, Khaled Hosny, Hermann Zapf",OFL,SERIF,2016-06-20
Arima Madurai,Multiple Designers,OFL,DISPLAY,2016-08-22
Arizonia,TypeSETit,OFL,HANDWRITING,2011-12-19
Armata,Viktoriya Grabowska,OFL,SANS_SERIF,2011-12-19
Arsenal,Andrij Shevchenko,OFL,SANS_SERIF,2016-12-06
Artifika,Cyreal,OFL,SERIF,2011-06-01
Arvo,Anton Koovit,OFL,SERIF,2010-11-17
Arya,Multiple Designers,OFL,SANS_SERIF,2015-05-20
Asap,Omnibus-Type,OFL,SANS_SERIF,2012-01-25
Asap Condensed,Omnibus-Type,OFL,SANS_SERIF,2016-12-07
Asar,Sorkin Type,OFL,SERIF,2015-06-17
Asset,Riccardo De Franceschi,OFL,DISPLAY,2011-06-29
Assistant,Multiple Designers,OFL,SANS_SERIF,2016-06-20
Astloch,Dan Rhatigan,OFL,DISPLAY,2011-02-16
Asul,Mariela Monsalve,OFL,SANS_SERIF,2011-12-19
Athiti,Cadson Demak,OFL,SANS_SERIF,2016-06-20
Atma,Black Foundry,OFL,DISPLAY,2017-05-09
Atomic Age,James Grieshaber,OFL,DISPLAY,2011-10-26
Aubrey,Cyreal,OFL,DISPLAY,2011-07-27
Audiowide,Astigmatic,OFL,DISPLAY,2012-04-04
Autour One,Sorkin Type,OFL,DISPLAY,2012-05-15
Average,Eduardo Tunni,OFL,SERIF,2012-03-14
Average Sans,Eduardo Tunni,OFL,SANS_SERIF,2012-10-26
Averia Gruesa Libre,Dan Sayers,OFL,DISPLAY,2012-03-14
Averia Libre,Dan Sayers,OFL,DISPLAY,2012-03-14
Averia Sans Libre,Dan Sayers,OFL,DISPLAY,2012-03-14
Averia Serif Libre,Dan Sayers,OFL,DISPLAY,2012-03-14
