name,style,weight,filename,post_script_name,full_name,copyright
ABeeZee,normal,400,ABeeZee-Regular.ttf,ABeeZee-Regular,ABeeZee Regular,"Copyright (c) 2011 by Anja Meiners, with Reserved Font Name \'ABeeZee\'"
ABeeZee,italic,400,ABeeZee-Italic.ttf,ABeeZee-Italic,ABeeZee Italic,"Copyright (c) 2011 by Anja Meiners, with Reserved Font Name \'ABeeZee\'"
Abel,normal,400,Abel-Regular.ttf,Abel-Regular,Abel Regular,"Copyright (c) 2011, Matthew Desmond (http://www.madtype.com | mattdesmond@gmail.com), with Reserved Font Name Abel."
Abhaya Libre,normal,400,AbhayaLibre-Regular.ttf,AbhayaLibre-Regular,Abhaya Libre Regular,Copyright (c) 1996-2015 Pushpananda Ekanayake (pushpanandae@gmail.com) Copyright (c) 2015 Sol Matas (sol@sonnenshine.com.ar) Copyright (c) 2015 Mooniak (hello@mooniak.com)
Abhaya Libre,normal,500,AbhayaLibre-Medium.ttf,AbhayaLibre-Medium,Abhaya Libre Medium,Copyright (c) 1996-2015 Pushpananda Ekanayake (pushpanandae@gmail.com) Copyright (c) 2015 Sol Matas (sol@sonnenshine.com.ar) Copyright (c) 2015 Mooniak (hello@mooniak.com)
Abhaya Libre,normal,600,AbhayaLibre-SemiBold.ttf,AbhayaLibre-SemiBold,Abhaya Libre SemiBold,Copyright (c) 1996-2015 Pushpananda Ekanayake (pushpanandae@gmail.com) Copyright (c) 2015 Sol Matas (sol@sonnenshine.com.ar) Copyright (c) 2015 Mooniak (hello@mooniak.com)
Abhaya Libre,normal,700,AbhayaLibre-Bold.ttf,AbhayaLibre-Bold,Abhaya Libre Bold,Copyright (c) 1996-2015 Pushpananda Ekanayake (pushpanandae@gmail.com) Copyright (c) 2015 Sol Matas (sol@sonnenshine.com.ar) Copyright (c) 2015 Mooniak (hello@mooniak.com)
Abhaya Libre,normal,800,AbhayaLibre-ExtraBold.ttf,AbhayaLibre-ExtraBold,Abhaya Libre ExtraBold,Copyright (c) 1996-2015 Pushpananda Ekanayake (pushpanandae@gmail.com) Copyright (c) 2015 Sol Matas (sol@sonnenshine.com.ar) Copyright (c) 2015 Mooniak (hello@mooniak.com)
Abril Fatface,normal,400,AbrilFatface-Regular.ttf,AbrilFatface-Regular,Abril Fatface,"Copyright (c) 2011, Copyright (c) 2011, TypeTogether (www.type-together.com info@type-together.com), with Reserved Font Names \Abril\ and \Abril Fatface\"
Abyssinica SIL,normal,400,AbyssinicaSIL-Regular.ttf,AbyssinicaSIL,Abyssinica SIL Regular,Copyright (c) 2000-2013 by SIL International. All rights reserved.
Acme,normal,400,Acme-Regular.ttf,Acme-Regular,Acme Regular,"Copyright (c) 2011 by Juan Pablo del Peral (info@huertatipografica.com.ar), with Reserved Font Name \Acme\"
Actor,normal,400,Actor-Regular.ttf,Actor-Regular,Actor Regular,"Copyright (c) 2011, Thomas Junold <hallo@buerofueraufmerksamkeit.de>, with Reserved Font Name \Actor\."
Adamina,normal,400,Adamina-Regular.ttf,Adamina-Regular,Adamina Regular,"Copyright (c) 2011, Cyreal (www.cyreal.org) with Reserved Font Name \'Adamina\'"
Adobe Blank,normal,400,AdobeBlank-Regular.ttf,AdobeBlank-Regular,Adobe Blank,"Copyright  2013, 2015 Adobe Systems Incorporated (http://www.adobe.com/)."
Advent Pro,normal,100,AdventPro-Thin.ttf,AdventPro-Thin,Advent Pro Thin,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Advent Pro,normal,200,AdventPro-ExtraLight.ttf,AdventPro-ExtraLight,Advent Pro ExtraLight,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Advent Pro,normal,300,AdventPro-Light.ttf,AdventPro-Light,Advent Pro Light,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Advent Pro,normal,400,AdventPro-Regular.ttf,AdventPro-Regular,Advent Pro Regular,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Advent Pro,normal,500,AdventPro-Medium.ttf,AdventPro-Medium,Advent Pro Medium,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Advent Pro,normal,600,AdventPro-SemiBold.ttf,AdventPro-SemiBold,Advent Pro SemiBold,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Advent Pro,normal,700,AdventPro-Bold.ttf,AdventPro-Bold,Advent Pro Bold,"Copyright (c) 2008 Andreas Kalpakidis (hello@inderesting.com), with Reserved Font Name \Advent Pro\"
Aguafina Script,normal,400,AguafinaScript-Regular.ttf,AguafinaScript-Regular,Aguafina Script Regular,"Copyright (c) 2007 Angel Koziupa (sudtipos@sudtipos.com), Copyright (c) 2007 Alejandro Paul (sudtipos@sudtipos.com), with Reserved Font Name \Aguafina Script\"
Akronim,normal,400,Akronim-Regular.ttf,Akronim-Regular,Akronim Regular,"Copyright (c) 2012 Grzegorz Klimczewski, Fonty.PL (www.fonty.pl), with Reserved Font Name \'Akronim\'"
Aladin,normal,400,Aladin-Regular.ttf,Aladin-Regular,Aladin Regular,"Copyright (c) 2009 Angel Koziupa (sudtipos@sudtipos.com), Copyright (c) 2009 Alejandro Paul (sudtipos@sudtipos.com), with Reserved Font Name \Aladin\"
Alata,normal,400,Alata-Regular.ttf,Alata-Regular,Alata Regular,Copyright 2019 The Alata Project Authors (https://github.com/SorkinType/Alata)
Alatsi,normal,400,Alatsi-Regular.ttf,Alatsi-Regular,Alatsi Regular,Copyright 2019 The Alatsi Project Authors (https://github.com/SorkinType/Alatsi)
Aldrich,normal,400,Aldrich-Regular.ttf,Aldrich-Regular,Aldrich Regular,"Copyright (c) Matthew Desmond, 2011. All rights reserved."
Alef,normal,400,Alef-Regular.ttf,Alef-Regular,Alef Regular,Copyright (c) 2012 by Hagilda. All rights reserved.
Alef,normal,700,Alef-Bold.ttf,Alef-Bold,Alef Bold,Copyright (c) 2012 by Hagilda. All rights reserved.
Alegreya,normal,400,Alegreya-Regular.ttf,Alegreya-Regular,Alegreya Regular,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,italic,400,Alegreya-Italic.ttf,Alegreya-Italic,Alegreya Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,normal,500,Alegreya-Medium.ttf,Alegreya-Medium,Alegreya Medium,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,italic,500,Alegreya-MediumItalic.ttf,Alegreya-MediumItalic,Alegreya Medium Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,normal,700,Alegreya-Bold.ttf,Alegreya-Bold,Alegreya Bold,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,italic,700,Alegreya-BoldItalic.ttf,Alegreya-BoldItalic,Alegreya Bold Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,normal,800,Alegreya-ExtraBold.ttf,Alegreya-ExtraBold,Alegreya ExtraBold,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,italic,800,Alegreya-ExtraBoldItalic.ttf,Alegreya-ExtraBoldItalic,Alegreya ExtraBold Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,normal,900,Alegreya-Black.ttf,Alegreya-Black,Alegreya Black,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya,italic,900,Alegreya-BlackItalic.ttf,Alegreya-BlackItalic,Alegreya Black Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya Sans,normal,100,AlegreyaSans-Thin.ttf,AlegreyaSans-Thin,Alegreya Sans Thin,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,100,AlegreyaSans-ThinItalic.ttf,AlegreyaSans-ThinItalic,Alegreya Sans Thin Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,normal,300,AlegreyaSans-Light.ttf,AlegreyaSans-Light,Alegreya Sans Light,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,300,AlegreyaSans-LightItalic.ttf,AlegreyaSans-LightItalic,Alegreya Sans Light Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,normal,400,AlegreyaSans-Regular.ttf,AlegreyaSans-Regular,Alegreya Sans Regular,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,400,AlegreyaSans-Italic.ttf,AlegreyaSans-Italic,Alegreya Sans Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,normal,500,AlegreyaSans-Medium.ttf,AlegreyaSans-Medium,Alegreya Sans Medium,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,500,AlegreyaSans-MediumItalic.ttf,AlegreyaSans-MediumItalic,Alegreya Sans Medium Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,normal,700,AlegreyaSans-Bold.ttf,AlegreyaSans-Bold,Alegreya Sans Bold,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,700,AlegreyaSans-BoldItalic.ttf,AlegreyaSans-BoldItalic,Alegreya Sans Bold Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,normal,800,AlegreyaSans-ExtraBold.ttf,AlegreyaSans-ExtraBold,Alegreya Sans ExtraBold,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,800,AlegreyaSans-ExtraBoldItalic.ttf,AlegreyaSans-ExtraBoldItalic,Alegreya Sans ExtraBold Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,normal,900,AlegreyaSans-Black.ttf,AlegreyaSans-Black,Alegreya Sans Black,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans,italic,900,AlegreyaSans-BlackItalic.ttf,AlegreyaSans-BlackItalic,Alegreya Sans Black Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,100,AlegreyaSansSC-Thin.ttf,AlegreyaSansSC-Thin,Alegreya Sans SC Thin,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,100,AlegreyaSansSC-ThinItalic.ttf,AlegreyaSansSC-ThinItalic,Alegreya Sans SC Thin Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,300,AlegreyaSansSC-Light.ttf,AlegreyaSansSC-Light,Alegreya Sans SC Light,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,300,AlegreyaSansSC-LightItalic.ttf,AlegreyaSansSC-LightItalic,Alegreya Sans SC Light Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,400,AlegreyaSansSC-Regular.ttf,AlegreyaSansSC-Regular,Alegreya Sans SC Regular,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,400,AlegreyaSansSC-Italic.ttf,AlegreyaSansSC-Italic,Alegreya Sans SC Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,500,AlegreyaSansSC-Medium.ttf,AlegreyaSansSC-Medium,Alegreya Sans SC Medium,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,500,AlegreyaSansSC-MediumItalic.ttf,AlegreyaSansSC-MediumItalic,Alegreya Sans SC Medium Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,700,AlegreyaSansSC-Bold.ttf,AlegreyaSansSC-Bold,Alegreya Sans SC Bold,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,700,AlegreyaSansSC-BoldItalic.ttf,AlegreyaSansSC-BoldItalic,Alegreya Sans SC Bold Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,800,AlegreyaSansSC-ExtraBold.ttf,AlegreyaSansSC-ExtraBold,Alegreya Sans SC ExtraBold,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,800,AlegreyaSansSC-ExtraBoldItalic.ttf,AlegreyaSansSC-ExtraBoldItalic,Alegreya Sans SC ExtraBold Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,normal,900,AlegreyaSansSC-Black.ttf,AlegreyaSansSC-Black,Alegreya Sans SC Black,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya Sans SC,italic,900,AlegreyaSansSC-BlackItalic.ttf,AlegreyaSansSC-BlackItalic,Alegreya Sans SC Black Italic,Copyright 2013 The Alegreya Sans Project Authors (https://github.com/huertatipografica/Alegreya-Sans)
Alegreya SC,normal,400,AlegreyaSC-Regular.ttf,AlegreyaSC-Regular,Alegreya SC Regular,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,italic,400,AlegreyaSC-Italic.ttf,AlegreyaSC-Italic,Alegreya SC Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,normal,500,AlegreyaSC-Medium.ttf,AlegreyaSC-Medium,Alegreya SC Medium,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,italic,500,AlegreyaSC-MediumItalic.ttf,AlegreyaSC-MediumItalic,Alegreya SC Medium Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,normal,700,AlegreyaSC-Bold.ttf,AlegreyaSC-Bold,Alegreya SC Bold,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,italic,700,AlegreyaSC-BoldItalic.ttf,AlegreyaSC-BoldItalic,Alegreya SC Bold Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,normal,800,AlegreyaSC-ExtraBold.ttf,AlegreyaSC-ExtraBold,Alegreya SC ExtraBold,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,italic,800,AlegreyaSC-ExtraBoldItalic.ttf,AlegreyaSC-ExtraBoldItalic,Alegreya SC ExtraBold Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,normal,900,AlegreyaSC-Black.ttf,AlegreyaSC-Black,Alegreya SC Black,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Alegreya SC,italic,900,AlegreyaSC-BlackItalic.ttf,AlegreyaSC-BlackItalic,Alegreya SC Black Italic,Copyright 2011 The Alegreya Project Authors (https://github.com/huertatipografica/Alegreya)
Aleo,normal,300,Aleo-Light.ttf,Aleo-Light,Aleo Light,Copyright 2018 The Aleo Project Authors (https://github.com/AlessioLaiso/aleo)
Aleo,italic,300,Aleo-LightItalic.ttf,Aleo-LightItalic,Aleo Light Italic,Copyright 2018 The Aleo Project Authors (https://github.com/AlessioLaiso/aleo)
Aleo,normal,400,Aleo-Regular.ttf,Aleo-Regular,Aleo Regular,Copyright 2018 The Aleo Project Authors (https://github.com/AlessioLaiso/aleo)
Aleo,italic,400,Aleo-Italic.ttf,Aleo-Italic,Aleo Italic,Copyright 2018 The Aleo Project Authors (https://github.com/AlessioLaiso/aleo)
Aleo,normal,700,Aleo-Bold.ttf,Aleo-Bold,Aleo Bold,Copyright 2018 The Aleo Project Authors (https://github.com/AlessioLaiso/aleo)
Aleo,italic,700,Aleo-BoldItalic.ttf,Aleo-BoldItalic,Aleo Bold Italic,Copyright 2018 The Aleo Project Authors (https://github.com/AlessioLaiso/aleo)
Alex Brush,normal,400,AlexBrush-Regular.ttf,AlexBrush-Regular,Alex Brush Regular,"Copyright (c) 2011 TypeSETit, LLC (typesetit@att.net), with Reserved Font Name \Alex Brush\"
Alfa Slab One,normal,400,AlfaSlabOne-Regular.ttf,AlfaSlabOne-Regular,Alfa Slab One Regular,"Copyright 2016 The Alfa Slab One Project Authors (http://www.jmsole.cl | info@jmsole.cl), with Reserved Font Name \Alfa Slab\."
Alice,normal,400,Alice-Regular.ttf,Alice-Regular,Alice Regular,Copyright 2011 The Alice Project Authors (contact@cyreal.org) with Reserved Font Name \Alice\
